あう、合う
きる、着る
きる、切る
きれる、切れる
きわまる、極まる
きわめる、極める
きわめる、究める
くう、食う
くだす、下す
くだる、下る
くばる、配る
くむ、組む
くらう、食らう
くらす、暮らす
くらべる、比べる
くるしむ、苦しむ
くるしめる、苦しめる
くれる、暮れる
くわえる、加える
くわわる、加わる
けす、消す
こえる、肥える
こころざす、志す
こころみる、試みる
こたえる、答える
ことなる、異なる
ことわる、断る
このむ、好む
こまる、困る
こやす、肥やす
ころがす、転がす
ころがる、転がる
ころげる、転げる
ころす、殺す
ころぶ、転ぶ
さかえる・はえる、栄える
さがす、探す
さからう、逆らう
さがる、下がる
さかる・もる、盛る
さく、割く
さぐる、探る
さげる、提げる
さげる、下げる
ささえる、支える
ささる、下さる
さす、指す
さす、差す
さずかる、授かる
さずける、授ける
さだまる、定まる
さだめる、定める
さばく、裁く
さます、冷ます
さます、覚ます
さめる、冷める
さめる、覚める
さる、去る
さわる、障る
しいる、強いる
しずまる、静まる
しずめる、静める
したがう、従う
したがえる、従える
したしむ、親しむ
しぬ、死ぬ
しまる、閉まる
しみる、染みる
しめす、示す
しめる、閉める
しらべる、調べる
しりぞく、退く
しりぞける、退ける
しる、知る
しるす、記す
すう、吸う
すぎる、過ぎる
すく、好く
すくう、救う
すぐれる、優れる
すごす、過ごす
すすむ、進む
すすめる、進める
すてる、捨てる
すべる、統べる
すまう、住まう
すます、済ます
すむ、住む
すむ、済む
する、刷る
すわる、座る
せめる、責める
せる、競る
そう、沿う
そこなう、損なう
そこねる、損ねる
そそぐ、注ぐ
そだつ、育つ
そだてる、育てる
そなえる、備える
そなえる、供える
そなわる、備わる
そまる、染まる
そむく、背く
そむける、背ける
そめる、染める
そらす、反らす
そる、反る
たえる、絶える
たかまる、高まる
たかめる、高める
たがやす、耕す
たしかめる、確かめる
たす、足す
だす、出す
たすかる、助かる
たすける、助ける
たずねる、訪ねる
たたかう、戦う
ただす、正す
たつ、立つ
たつ、断つ
たつ、絶つ
たつ、裁つ
たつ、建つ
たっとぶ・とうとぶ、尊ぶ
たっとぶ・とうとぶ、貴ぶ
たてる、立てる
たてる、建てる
たとえる、例える
たのしむ、楽しむ
たべる、食べる
ためす、試す
たもつ、保つ
たやす、絶やす
たらす、垂らす
たりる、足りる
たる、足る
たれる、垂れる
ちぢまる、縮まる
ちぢむ、縮む
ちぢめる、縮める
ちぢらす、縮らす
ちぢれる、縮れる
ちらかす、散らかす
ちらかる、散らかる
ちらす、散らす
ついえる、費える
ついやす、費やす
つかう、使う
つかえる、仕える
つく、付く
つく、着く
つく、就く
つくる、造る
つくる、作る
つける、付ける
つける、着ける
つける、就ける
つげる、告げる
つたう、伝う
つたえる、伝える
つたわる、伝わる
つづく、続く
つづける、続ける
つつむ、包む
つどう、集う
つとまる、勤まる
つとめる、務める
つとめる、努める
つとめる、勤める
つなぐ、接ぐ
つなぐ、次ぐ
つむ、積む
つもる、積もる
つよまる、強まる
つよめる、強める
つらなる、連なる
つらねる、連ねる
つれる、連れる
てらす、照らす
てる、照る
でる、出る
てれる、照れる
とう、問う
とおす、通す
とおる、通る
とかす、解かす
とく、説く
とく、解く
とぐ、研ぐ
とける、解ける
とざす、閉ざす
とじる、閉じる
とどく、届く
とどける、届ける
ととのう、調う
ととのう、整う
ととのえる、調える
ととのえる、整える
となえる、唱える
とばす、飛ばす
とぶ、飛ぶ
とまる、留まる
とまる、止まる
とむ、富む
とめる、留める
とめる、止める
とる、取る
とる、散る
とる、採る
なおす、直す
なおす、治す
なおる、直る
なおる、治る
ながす、流す
ながれる、流れる
なく、鳴く
なく、泣く
なげる、投げる
なごむ、和む
なす、成す
ならう、習う
ならす、鳴らす
ならす、慣らす
ならぶ、並ぶ
ならべる、並べる
なる、鳴る
なる、成る
なれる、慣れる
にがる、苦る
になう、担う
にる、似る
ねがう、願う
ねる、練る
のこす、残す
のこる、残る
のせる、乗せる
のぞく、除く
のぞむ、望む
のばす、延ばす
のびる、延びる
のべる、述べる
のべる、延べる
のぼす、上す
のぼせる、上せる
のぼる、登る
のぼる、上る
のむ、飲む
のる、乗る
はえる、生える
はえる、映える
ばかす、化かす
はからう、計らう
はかる、量る
はかる、測る
はかる、図る
はかる、計る
はく、働く
ばける、化ける
はこぶ、運ぶ
はじまる、始まる
はじめる、初める
はじめる、始める
はしる、走る
はずす、外す
はずれる、外れる
はたす、果たす
はてる、果てる
はなす、話す
はなす、放す
はなつ、放つ
はなれる、放れる
はぶく、省く
はやす、生やす
はやまる、早まる
はやめる、速める
はやめる、早める
はらす、晴らす
はる、張る
はれる、晴れる
ひえる、冷える
ひかる、光る
ひきいる、率いる
ひく、引く
ひくまる、低まる
ひくめる、低める
ひける、引ける
ひめる、秘める
ひやかす、冷やかす
ひややす、冷やす
ひる、干る
ひろう、拾う
ひろがる、広がる
ひろげる、広げる
ひろまる、広まる
ひろめる、広める
ふえる、増える
ふかまる、深まる
ふかめる、深める
ふける、老ける
ふせぐ、防ぐ
ふとる、太る
ふやす、増やす
ふる、降る
ふるう、奮う
ふるす、古す
へらす、減らす
へる、減る
へる、経る
ほす、干す
ほそる、細る
ほっする、欲する
まいる、参る
まかす、負かす
まかす、任す
まかせる、任せる
まがる、曲がる
まぎつ、待つ
まく、巻く
まける、負ける
まげる、曲げる
まさる、勝る
まざる、混ざる
まざる、交ざる
まじう、交う
まじえる、交える
まじる、混じる
まじる、交じる
まじわる、交わる
ます、増す
まぜる、混ぜる
まぜる、交ぜる
まつる、祭る
まなぶ、学ぶ
まねく、招く
まもる、守る
まよう、迷う
まるめる、丸める
まわす、回す
まわる、回る
みえる、見える
みせる、見せる
みたす、満たす
みだす、乱す
みだれる、乱れる
みちびく、導く
みちる、満ちる
みとめる、認める
みのる、実る
みる、見る
むかう、向かう
むく、向く
むくいる、報いる
むける、向ける
むす、蒸す
むすぶ、結ぶ
むらがる、群がる
むらす、蒸らす
むれる、蒸れる
むれる、群れる
もうける、設ける
もうす、申す
もえる、燃える
もちいる、用いる
もつ、持つ
もとめる、求める
もやす、燃やす
もやす、燃す
やく、焼く
やける、焼ける
やしなう、養う
やすまる、休まる
やすむ、休む
やすめる、休める
やどす、宿す
やどる、宿る
やぶる、破る
やぶれる、敗れる
やぶれる、破れる
やむ、病む
やめる、辞める
やわらぐ、和らぐ
やわらげる、和らげる
ゆう、結う
ゆるす、許す
ゆわえる、結わえる
よせる、寄せる
よそおう、装う
よぶ、呼ぶ
よむ、読む
よる、寄る
よる、因る
よろこぶ、喜ぶ
よわまる、弱まる
よわめる、弱める
よわる、弱る
りく、利く
わかつ、分かつ
わかる、分かる
わかれる、別れる
わかれる、分かれる
わける、分ける
わすれる、忘れる
わらう、笑う
わる、割る
われる、割れる
